,datadate,sentiment
0,20020807,0
1,20020808,0
2,20020809,0
3,20020812,0
4,20020813,0
5,20020814,0
6,20020815,0
7,20020816,0
8,20020819,0
9,20020820,0
10,20020821,0
11,20020822,0
12,20020823,0
13,20020826,0
14,20020827,0
15,20020828,0
16,20020829,0
17,20020830,0
18,20020903,0
19,20020904,0
20,20020905,0
21,20020906,0
22,20020909,0
23,20020910,0
24,20020911,0
25,20020912,0
26,20020913,0
27,20020916,0
28,20020917,0
29,20020918,0
30,20020919,0
31,20020920,0
32,20020923,0
33,20020924,0
34,20020925,0
35,20020926,0
36,20020927,0
37,20020930,0
38,20021001,0
39,20021002,0
40,20021003,0
41,20021004,0
42,20021007,0
43,20021008,0
44,20021009,0
45,20021010,0
46,20021011,0
47,20021014,0
48,20021015,0
49,20021016,0
50,20021017,0
51,20021018,0
52,20021021,0
53,20021022,0
54,20021023,0
55,20021024,0
56,20021025,0
57,20021028,0
58,20021029,0
59,20021030,0
60,20021031,0
61,20021101,0
62,20021104,0
63,20021105,0
64,20021106,0
65,20021107,0
66,20021108,0
67,20021111,0
68,20021112,0
69,20021113,0
70,20021114,0
71,20021115,0
72,20021118,0
73,20021119,0
74,20021120,0
75,20021121,0
76,20021122,0
77,20021125,0
78,20021126,0
79,20021127,0
80,20021129,0
81,20021202,0
82,20021203,0
83,20021204,0
84,20021205,0
85,20021206,0
86,20021209,0
87,20021210,0
88,20021211,0
89,20021212,0
90,20021213,0
91,20021216,0
92,20021217,0
93,20021218,0
94,20021219,0
95,20021220,0
96,20021223,0
97,20021224,0
98,20021226,0
99,20021227,0
100,20021230,0
101,20021231,0
102,20030102,0
103,20030103,0
104,20030106,0
105,20030107,0
106,20030108,0
107,20030109,0
108,20030110,0
109,20030113,0
110,20030114,0
111,20030115,0
112,20030116,0
113,20030117,0
114,20030121,0
115,20030122,0
116,20030123,0
117,20030124,0
118,20030127,0
119,20030128,0
120,20030129,0
121,20030130,0
122,20030131,0
123,20030203,0
124,20030204,0
125,20030205,0
126,20030206,0
127,20030207,0
128,20030210,0
129,20030211,0
130,20030212,0
131,20030213,0
132,20030214,0
133,20030218,0
134,20030219,0
135,20030220,0
136,20030221,0
137,20030224,0
138,20030225,0
139,20030226,0
140,20030227,0
